strain	strain_name	date	host	country	virus	subtype	type	sequence_locus
LC506832	HCoV_OC43/Yamagata.JPN/06.2014_0378	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506891	HCoV_OC43/Yamagata.JPN/06.2015_0290	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506892	HCoV_OC43/Yamagata.JPN/06.2015_0291	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506893	HCoV_OC43/Yamagata.JPN/06.2015_0294	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506894	HCoV_OC43/Yamagata.JPN/06.2015_0297	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506895	HCoV_OC43/Yamagata.JPN/06.2015_0300	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506896	HCoV_OC43/Yamagata.JPN/06.2015_0301	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506897	HCoV_OC43/Yamagata.JPN/06.2015_0303	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506898	HCoV_OC43/Yamagata.JPN/06.2015_0351	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506900	HCoV_OC43/Yamagata.JPN/06.2015_0359	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506919	HCoV_OC43/Yamagata.JPN/06.2017_0266	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506920	HCoV_OC43/Yamagata.JPN/06.2017_0300	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506759	HCoV_OC43/Yamagata.JPN/07.2009_0467	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506760	HCoV_OC43/Yamagata.JPN/07.2009_0469	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506761	HCoV_OC43/Yamagata.JPN/07.2009_0536	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506820	HCoV_OC43/Yamagata.JPN/07.2013_0380	2013-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506833	HCoV_OC43/Yamagata.JPN/07.2014_0380	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506838	HCoV_OC43/Yamagata.JPN/07.2014_0446	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506899	HCoV_OC43/Yamagata.JPN/07.2015_0353	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506901	HCoV_OC43/Yamagata.JPN/07.2015_0361	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506902	HCoV_OC43/Yamagata.JPN/07.2015_0368	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506903	HCoV_OC43/Yamagata.JPN/07.2015_0369	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506904	HCoV_OC43/Yamagata.JPN/07.2015_0373	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506905	HCoV_OC43/Yamagata.JPN/07.2015_0416	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506906	HCoV_OC43/Yamagata.JPN/07.2015_0417	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506907	HCoV_OC43/Yamagata.JPN/07.2015_0418	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506908	HCoV_OC43/Yamagata.JPN/07.2015_0424	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506909	HCoV_OC43/Yamagata.JPN/07.2015_0425	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506921	HCoV_OC43/Yamagata.JPN/07.2017_0304	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506922	HCoV_OC43/Yamagata.JPN/07.2017_0305	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506923	HCoV_OC43/Yamagata.JPN/07.2017_0306	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506924	HCoV_OC43/Yamagata.JPN/07.2017_0314	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506925	HCoV_OC43/Yamagata.JPN/07.2017_0354	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506926	HCoV_OC43/Yamagata.JPN/07.2017_0361	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506927	HCoV_OC43/Yamagata.JPN/07.2017_0362	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506762	HCoV_OC43/Yamagata.JPN/08.2009_0554	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506821	HCoV_OC43/Yamagata.JPN/08.2013_0498	2013-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506834	HCoV_OC43/Yamagata.JPN/08.2014_0432	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506835	HCoV_OC43/Yamagata.JPN/08.2014_0434	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506836	HCoV_OC43/Yamagata.JPN/08.2014_0435	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506837	HCoV_OC43/Yamagata.JPN/08.2014_0436	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506839	HCoV_OC43/Yamagata.JPN/08.2014_0484	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506840	HCoV_OC43/Yamagata.JPN/08.2014_0485	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506910	HCoV_OC43/Yamagata.JPN/08.2015_0433	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506911	HCoV_OC43/Yamagata.JPN/08.2015_0434	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506912	HCoV_OC43/Yamagata.JPN/08.2015_0486	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506928	HCoV_OC43/Yamagata.JPN/08.2017_0364	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506929	HCoV_OC43/Yamagata.JPN/08.2017_0375	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506930	HCoV_OC43/Yamagata.JPN/08.2017_0379	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506763	HCoV_OC43/Yamagata.JPN/09.2009_0623	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506790	HCoV_OC43/Yamagata.JPN/09.2011_0752	2011-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506807	HCoV_OC43/Yamagata.JPN/09.2012_0501	2012-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506913	HCoV_OC43/Yamagata.JPN/09.2015_0492	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506931	HCoV_OC43/Yamagata.JPN/09.2017_0410	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506932	HCoV_OC43/Yamagata.JPN/09.2017_0411	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506933	HCoV_OC43/Yamagata.JPN/09.2017_0478	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506934	HCoV_OC43/Yamagata.JPN/09.2017_0480	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506935	HCoV_OC43/Yamagata.JPN/09.2017_0482	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331076	HCoV_OC43/Yamagata.JPN/10.15_0600	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506764	HCoV_OC43/Yamagata.JPN/10.2009_0762	2009-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506822	HCoV_OC43/Yamagata.JPN/10.2013_0627	2013-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506951	HCoV_OC43/Yamagata.JPN/10.2017_0491	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506936	HCoV_OC43/Yamagata.JPN/10.2017_0516	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331077	HCoV_OC43/Yamagata.JPN/11.15_0612	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331078	HCoV_OC43/Yamagata.JPN/11.15_0615	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331079	HCoV_OC43/Yamagata.JPN/11.16_0552	2016-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506765	HCoV_OC43/Yamagata.JPN/11.2009_0765	2009-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506766	HCoV_OC43/Yamagata.JPN/11.2009_0842	2009-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506823	HCoV_OC43/Yamagata.JPN/11.2013_0666	2013-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506914	HCoV_OC43/Yamagata.JPN/11.2015_0604	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506937	HCoV_OC43/Yamagata.JPN/11.2017_0521	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506938	HCoV_OC43/Yamagata.JPN/11.2017_0634	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506939	HCoV_OC43/Yamagata.JPN/12.2017_0640	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506940	HCoV_OC43/Yamagata.JPN/12.2017_0642	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506941	HCoV_OC43/Yamagata.JPN/12.2017_0751	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506791	HCoV_OC43/Yamagata.JPN/13.2011_0825	2011-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506792	HCoV_OC43/Yamagata.JPN/13.2011_0857	2011-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506808	HCoV_OC43/Yamagata.JPN/13.2012_0719	2012-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506915	HCoV_OC43/Yamagata.JPN/13.2015_0693	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331080	HCoV_OC43/Yamagata.JPN/14.16_0684	2016-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506793	HCoV_OC43/Yamagata.JPN/14.2011_0874	2011-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506794	HCoV_OC43/Yamagata.JPN/14.2011_0897	2011-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506809	HCoV_OC43/Yamagata.JPN/14.2012_0781	2012-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506942	HCoV_OC43/Yamagata.JPN/14.2017_0959	2017-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506795	HCoV_OC43/Yamagata.JPN/16.2011_0969	2011-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506943	HCoV_OC43/Yamagata.JPN/16.2017_1199	2017-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506916	HCoV_OC43/Yamagata.JPN/19.2015_0902	2015-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331089	HCoV_OC43/Yamagata.JPN/20.16_0885	2016-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331081	HCoV_OC43/Yamagata.JPN/20.16_0914	2016-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506769	HCoV_OC43/Yamagata.JPN/20.2010_1337	2010-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506770	HCoV_OC43/Yamagata.JPN/20.2010_1341	2010-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506796	HCoV_OC43/Yamagata.JPN/20.2011_1168	2011-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506944	HCoV_OC43/Yamagata.JPN/20.2017_1370	2017-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506771	HCoV_OC43/Yamagata.JPN/21.2010_1394	2010-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506797	HCoV_OC43/Yamagata.JPN/21.2011_1174	2011-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506798	HCoV_OC43/Yamagata.JPN/21.2011_1236	2011-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331082	HCoV_OC43/Yamagata.JPN/22.16_0950	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506799	HCoV_OC43/Yamagata.JPN/22.2011_1255	2011-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331083	HCoV_OC43/Yamagata.JPN/23.16_0980	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331090	HCoV_OC43/Yamagata.JPN/24.16_1002	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331084	HCoV_OC43/Yamagata.JPN/24.16_1005	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331085	HCoV_OC43/Yamagata.JPN/24.16_1006	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331086	HCoV_OC43/Yamagata.JPN/24.16_1008	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331087	HCoV_OC43/Yamagata.JPN/24.16_1027	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331091	HCoV_OC43/Yamagata.JPN/25.16_1044	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331092	HCoV_OC43/Yamagata.JPN/26.16_1046	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331088	HCoV_OC43/Yamagata.JPN/26.16_1049	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506945	HCoV_OC43/Yamagata.JPN/26.2017_1566	2017-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331093	HCoV_OC43/Yamagata.JPN/27.16_1096	2016-07-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506800	HCoV_OC43/Yamagata.JPN/27.2011_1525	2011-07-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506772	HCoV_OC43/Yamagata.JPN/38.2010_2108	2010-09-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506773	HCoV_OC43/Yamagata.JPN/39.2010_2197	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506774	HCoV_OC43/Yamagata.JPN/43.2010_2375	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506775	HCoV_OC43/Yamagata.JPN/43.2010_2382	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506776	HCoV_OC43/Yamagata.JPN/43.2010_2384	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506777	HCoV_OC43/Yamagata.JPN/43.2010_2385	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506778	HCoV_OC43/Yamagata.JPN/43.2010_2388	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506779	HCoV_OC43/Yamagata.JPN/43.2010_2412	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506780	HCoV_OC43/Yamagata.JPN/45.2010_2465	2010-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506781	HCoV_OC43/Yamagata.JPN/46.2010_2506	2010-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506782	HCoV_OC43/Yamagata.JPN/46.2010_2510	2010-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506783	HCoV_OC43/Yamagata.JPN/46.2010_2512	2010-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506784	HCoV_OC43/Yamagata.JPN/46.2010_2513	2010-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506785	HCoV_OC43/Yamagata.JPN/46.2010_2538	2010-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506810	HCoV_OC43/Yamagata.JPN/46.2012_2185	2012-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506841	HCoV_OC43/Yamagata.JPN/46.2014_2103	2014-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506786	HCoV_OC43/Yamagata.JPN/47.2010_2547	2010-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506787	HCoV_OC43/Yamagata.JPN/48.2010_2590	2010-11-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506788	HCoV_OC43/Yamagata.JPN/48.2010_2644	2010-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506946	HCoV_OC43/Yamagata.JPN/48.2017_2515	2017-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506811	HCoV_OC43/Yamagata.JPN/49.2012_2416	2012-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506947	HCoV_OC43/Yamagata.JPN/50.2017_2568	2017-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506812	HCoV_OC43/Yamagata.JPN/51.2012_2581	2012-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506948	HCoV_OC43/Yamagata.JPN/51.2017_2650	2017-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506949	HCoV_OC43/Yamagata.JPN/51.2017_2652	2017-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506813	HCoV_OC43/Yamagata.JPN/52.2012_2586	2012-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506814	HCoV_OC43/Yamagata.JPN/52.2012_2590	2012-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506842	HCoV_OC43/Yamagata.JPN/52.2014_2417	2014-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506843	HCoV_OC43/Yamagata.JPN/52.2014_2419	2014-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506844	HCoV_OC43/Yamagata.JPN/53.2014_2422	2014-12-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
KP112161	HCOV/KENYA/007/2010	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112160	HCOV/KENYA/012/2010	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112159	HCOV/KENYA/013/2010	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112158	HCOV/KENYA/014/2011	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112162	HCOV/KENYA/016/2011	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112163	HCOV/KENYA/017/2010	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112164	HCOV/KENYA/018/2010	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112165	HCOV/KENYA/019/2010	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112166	HCOV/KENYA/020/2011	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112167	HCOV/KENYA/021/2010	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
KP112168	HCOV/KENYA/022/2010	2014-07-01	Human	Kenya	Betacoronavirus_1	None	None	full
MN306036	HCoV_OC43/Seattle/USA/SC0682/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
MN310478	HCoV_OC43/Seattle/USA/SC0776/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
MN306041	HCoV_OC43/Seattle/USA/SC0810/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
MN306042	HCoV_OC43/Seattle/USA/SC0839/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
MN306043	HCoV_OC43/Seattle/USA/SC0841/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY684759	HCoV_OC43/Seattle/USA/SC2269/2016	2016-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY967361	HCoV_OC43/Seattle/USA/SC2345/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY967360	HCoV_OC43/Seattle/USA/SC2476/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY983583	HCoV_OC43/Seattle/USA/SC2481/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY967359	HCoV_OC43/Seattle/USA/SC2730/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY967358	HCoV_OC43/Seattle/USA/SC2770/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY983585	HCoV_OC43/Seattle/USA/SC2854/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY967356	HCoV_OC43/Seattle/USA/SC2924/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY983588	HCoV_OC43/Seattle/USA/SC3118/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY369906	HCoV_OC43/Seattle/USA/SC622/2016	2016-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY369905	HCoV_OC43/Seattle/USA/SC831/2016	2016-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
MN310476	HCoV_OC43/Seattle/USA/SC9428/2018	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
MN306053	HCoV_OC43/Seattle/USA/SC9430/2018	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
KY369907	HCoV_OC43/Seattle/USA/SC9741/2016	2016-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
JN129835	HK04_02	2004-11-XX	Human	China	Betacoronavirus_1	None	None	full
KC513529	IDSKAHCOV_1	2011-03-18	Human	Indonesia	Betacoronavirus_1	None	None	full
KX426263	KIP_75	2012-05-XX	Human	India	Betacoronavirus_1	None	None	full
KF512624	LY1	2011-01-XX	Human	China	Betacoronavirus_1	None	None	full
KF512630	LY155	2011-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF512631	LY160	2011-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF512632	LY162	2011-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF512633	LY165	2011-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF512574	LY223	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512575	LY227	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512634	LY227	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512635	LY235	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512636	LY236	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512576	LY238	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512637	LY238	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512577	LY241	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512638	LY241	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512639	LY242	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512578	LY243	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512640	LY243	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512579	LY244	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512641	LY244	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512642	LY245	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512580	LY246	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512643	LY246	2011-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF512581	LY248	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512644	LY248	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512582	LY249	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512645	LY250	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512583	LY252	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512646	LY252	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512647	LY253	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512584	LY254	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512648	LY254	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512585	LY255	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512586	LY256	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512649	LY256	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512650	LY257	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512651	LY261	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512587	LY262	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512588	LY263	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512589	LY264	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512590	LY265	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512591	LY266	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512592	LY267	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512593	LY270	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512652	LY270	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512594	LY271	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512595	LY272	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512596	LY273	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512597	LY274	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512653	LY274	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512598	LY277	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512654	LY277	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512599	LY278	2011-08-XX	Human	China	Betacoronavirus_1	None	None	full
KF512600	LY306	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512655	LY306	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512601	LY307	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512656	LY307	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512602	LY308	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512657	LY308	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512603	LY311	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512604	LY317	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512605	LY318	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512658	LY318	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512659	LY319	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512606	LY321	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512607	LY322	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512608	LY325	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512609	LY326	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF512610	LY341	2011-10-XX	Human	China	Betacoronavirus_1	None	None	full
